Designator,Footprint,Quantity,Value,LCSC Part #
"_17, _16, _15, _14, _13, _12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",,17,,
"D1_2, D1, D10_2, D10, D11_2, D11, D12_2, D12, D13_2, D13, D14_2, D14, D15_2, D15, D16_2, D16, D17_2, D17, D18_2, D18, D19_2, D19, D2_2, D2, D20_2, D20, D21_2, D21, D22_2, D22, D23_2, D23, D24_2, D24, D25_2, D25, D26_2, D26, D3_2, D3, D4_2, D4, D5_2, D5, D6_2, D6, D7_2, D7, D8_2, D8, D9_2, D9",0805,52,Diode,
"DS1, DS2",Switch_MSK12C02,2,SW_DIP_x01,
GPIO1,DIP-28_W7.62mm,1,MCP23017_SP,
"J1, J2",JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,2,2-Pin JST,
J4,Molex-78127-1128-Manufacturer_Recommended,1,78127-1128,
MCU1,Nice_Nano_V2,1,Nice!Nano,
R1,0805,1,R_0805,
"S1_3, S1_2, S10_3, S10_2, S11_3, S11_2, S12_3, S12_2, S13_3, S13_2, S14_3, S14_2, S15_3, S15_2, S16_3, S16_2, S17_3, S17_2, S18_3, S18_2, S19_3, S19_2, S2_3, S2_2, S20_3, S20_2, S21_3, S21_2, S22_3, S22_2, S23_3, S23_2, S24_3, S24_2, S25_3, S25_2, S26_3, S26_2, S3_3, S3_2, S4_3, S4_2, S5_3, S5_2, S6_3, S6_2, S7_3, S7_2, S8_3, S8_2, S9_3, S9_2",SW_choc_v1_HS_CPG135001S30_1u_CHAMFER,52,Keyswitch,
SW1,Button_MJTP1243,1,Switch,
