Designator,Mid X,Mid Y,Rotation,Layer
_17,228.80891,-150.529712,0.0,top
_16,251.05891,-113.029712,0.0,top
_15,352.963101,-189.55625,0.0,top
_14,297.30891,-123.529712,0.0,top
_13,343.236899,-200.64375,0.0,top
_12,299.18391,-123.529712,0.0,top
_11,350.863101,-192.60625,0.0,top
_10,283.909612,-148.951212,0.0,top
_9,275.43391,-124.029712,0.0,top
_8,224.707812,-159.775812,0.0,top
_7,273.55891,-124.029712,0.0,top
_6,234.8975,-113.94,0.0,top
_5,230.68391,-150.529712,0.0,top
_4,341.613101,-199.70625,0.0,top
_3,352.486899,-193.54375,0.0,top
_2,354.586899,-190.49375,0.0,top
,252.93391,-113.029712,0.0,top
D1_2,233.96,-113.94,0.0,top
D1,233.96,-113.94,0.0,bottom
D10_2,298.24641,-123.529712,0.0,top
D10,298.24641,-123.529712,0.0,bottom
D11_2,316.93391,-129.029712,0.0,top
D11,316.93391,-129.029712,0.0,bottom
D12_2,333.49641,-133.029712,0.0,top
D12,333.49641,-133.029712,0.0,bottom
D13_2,229.74641,-150.529712,0.0,top
D13,229.74641,-150.529712,0.0,bottom
D14_2,249.80891,-150.279712,0.0,top
D14,249.80891,-150.279712,0.0,bottom
D15_2,271.99641,-143.279712,0.0,top
D15,271.99641,-143.279712,0.0,bottom
D16_2,295.49641,-142.529712,0.0,top
D16,295.49641,-142.529712,0.0,bottom
D17_2,312.24641,-146.029712,0.0,top
D17,312.24641,-146.029712,0.0,bottom
D18_2,329.93391,-151.529712,0.0,top
D18,329.93391,-151.529712,0.0,bottom
D19_2,269.99641,-162.779712,0.0,top
D19,269.99641,-162.779712,0.0,bottom
D2_2,251.99641,-113.029712,0.0,top
D2,251.99641,-113.029712,0.0,bottom
D20_2,288.49641,-161.779712,0.0,top
D20,288.49641,-161.779712,0.0,bottom
D21_2,308.49641,-166.279712,0.0,top
D21,308.49641,-166.279712,0.0,bottom
D22_2,322.93391,-170.529712,0.0,top
D22,322.93391,-170.529712,0.0,bottom
D23_2,353.775,-190.025,330.0,top
D23,353.775,-190.025,210.0,bottom
D24_2,351.675,-193.075,330.0,top
D24,351.675,-193.075,210.0,bottom
D25_2,340.975,-202.625,330.0,top
D25,340.975,-202.625,210.0,bottom
D26_2,342.425,-200.175,330.0,top
D26,342.425,-200.175,210.0,bottom
D3_2,276.76,-105.22,0.0,top
D3,276.76,-105.22,0.0,bottom
D4_2,301.0,-108.3,0.0,top
D4,301.0,-108.3,0.0,bottom
D5_2,318.65,-116.775,345.0,top
D5,318.65,-116.775,15.0,bottom
D6_2,338.2,-118.3,0.0,top
D6,338.2,-118.3,0.0,bottom
D7_2,232.18391,-131.529712,0.0,top
D7,232.18391,-131.529712,0.0,bottom
D8_2,250.99641,-131.529712,0.0,top
D8,250.99641,-131.529712,0.0,bottom
D9_2,274.49641,-124.029712,0.0,top
D9,274.49641,-124.029712,0.0,bottom
DS1,373.29641,-171.229712,90.0,bottom
DS2,373.29641,-171.229712,270.0,top
GPIO1,346.89641,-134.939712,0.0,bottom
J1,370.04641,-180.779712,270.0,bottom
J2,370.04641,-180.779712,90.0,top
J4,349.175248,-167.575,180.0,top
MCU1,363.95641,-133.579712,0.0,bottom
Nice!View1,364.46641,-152.973712,0.0,top
Nice!View2,363.55641,-155.279712,0.0,bottom
R1,364.99641,-162.654712,0.0,top
S1_3,224.70781,-121.775812,0.0,top
S1_2,224.707812,-121.775812,0.0,bottom
S10_3,286.553912,-130.136212,8.0,bottom
S10_2,286.55391,-130.136212,352.0,top
S11_3,305.62471,-135.851912,351.0,top
S11_2,305.624712,-135.851912,9.0,bottom
S12_3,324.74921,-140.911812,350.0,top
S12_2,324.749212,-140.911812,10.0,bottom
S13_3,224.70781,-159.775812,0.0,top
S13_2,224.707812,-159.775812,0.0,bottom
S14_3,243.70781,-159.775812,0.0,top
S14_2,243.707812,-159.775812,0.0,bottom
S15_3,263.30631,-151.634812,356.0,top
S15_2,263.306312,-151.634812,4.0,bottom
S16_3,283.90961,-148.951212,352.0,top
S16_2,283.909612,-148.951212,8.0,bottom
S17_3,302.65241,-154.617912,351.0,top
S17_2,302.652412,-154.617912,9.0,bottom
S18_3,321.44991,-159.623212,350.0,top
S18_2,321.449912,-159.623212,10.0,bottom
S19_3,264.83411,-172.792912,356.0,top
S19_2,264.834112,-172.792912,4.0,bottom
S2_3,243.70781,-121.775812,0.0,top
S2_2,243.707812,-121.775812,0.0,bottom
S20_3,283.92741,-172.123112,354.0,top
S20_2,283.927412,-172.123112,6.0,bottom
S21_3,302.50971,-177.092712,352.0,top
S21_2,302.509712,-177.092712,8.0,bottom
S22_3,322.21311,-180.927012,346.0,top
S22_2,322.213112,-180.927012,14.0,bottom
S23_3,341.81301,-188.031612,336.0,top
S23_2,341.813012,-188.031612,24.0,bottom
S24_3,359.88151,-198.431812,326.0,top
S24_2,359.881512,-198.431812,34.0,bottom
S25_3,328.19701,-203.862112,336.0,top
S25_2,328.197012,-203.862112,24.0,bottom
S26_3,346.97711,-213.517812,326.0,top
S26_2,346.977112,-213.517812,34.0,bottom
S3_3,265.95711,-113.727312,356.0,top
S3_2,265.957112,-113.727312,4.0,bottom
S4_3,289.19821,-111.321112,352.0,top
S4_2,289.198212,-111.321112,8.0,bottom
S5_3,308.59691,-117.085812,351.0,top
S5_2,308.596912,-117.085812,9.0,bottom
S6_3,328.04851,-122.200512,350.0,top
S6_2,328.048512,-122.200512,10.0,bottom
S7_3,224.70781,-140.775812,0.0,top
S7_2,224.707812,-140.775812,0.0,bottom
S8_3,243.70781,-140.775812,0.0,top
S8_2,243.707812,-140.775812,0.0,bottom
S9_3,264.63171,-132.681112,356.0,top
S9_2,264.631712,-132.681112,4.0,bottom
SW1,373.05391,-161.979712,270.0,top
