Designator,Mid X,Mid Y,Rotation,Layer
D1,113.6142,-56.0324,0.0,top
D10,173.3296,-62.4332,352.0,top
D11,191.7446,-67.818,351.0,top
D12,209.6516,-72.9488,350.0,top
D13,113.5126,-90.17,0.0,top
D14,131.572,-90.043,0.0,top
D15,150.7744,-81.9658,356.0,top
D16,171.0436,-79.2734,352.0,top
D17,188.9252,-84.7852,351.0,top
D18,206.752993,-89.656743,350.0,top
D19,152.304802,-101.149471,356.0,top
D2,131.5466,-56.0324,0.0,top
D20,170.70175,-100.459511,354.0,top
D21,188.804612,-105.345273,352.0,top
D22,207.0862,-109.7534,350.0,top
D23,197.866,-128.4732,350.0,top
D24,215.7476,-131.8006,350.0,top
D3,153.2382,-47.9806,355.0,top
D4,175.9712,-45.6438,352.0,top
D5,194.2592,-51.1302,351.0,top
D6,212.4202,-56.1594,350.0,top
D7,113.6142,-72.9996,0.0,top
D8,131.5212,-73.2028,0.0,top
D9,151.8412,-64.9478,356.0,top
Nice!View1_2,226.953365,-97.816005,9.0,bottom
Nice!View1,229.197177,-95.392869,350.0,top
SW25,223.453488,-121.806369,260.0,top
U1,232.77,-75.24,350.0,top
